municipality,year,week,season,ndvi,evi,temperature,temperature_max,temperature_min,rainfall_total,humidity,solar_radiation,wind_speed
Malinao,2017,32,Wet,0.5974509379575192,0.3897487948174684,28.09857143,28.54,27.17,41.190000000000005,82.02285714285713,19.527142857142856,2.4642857142857144
Malinao,2017,34,Wet,0.6949210885888752,0.4733122766450473,27.31285714,27.83,26.46,94.68,83.46428571428571,15.521428571428572,3.5228571428571427
Malinao,2017,35,Wet,0.8132496529702073,0.5927231511376232,27.90428571,28.17,27.32,28.13,84.44142857142857,19.395714285714288,4.258571428571428
Malinao,2017,36,Wet,0.7698646124755834,0.5372882406130514,28.14857143,28.67,27.38,70.69,81.16285714285713,17.75,2.36
Malinao,2017,37,Wet,0.793781912900752,0.5609905127228518,27.74714286,28.74,26.8,100.24,81.43714285714285,16.28142857142857,3.042857142857143
Malinao,2017,38,Wet,0.7124555070295846,0.4967684428061356,27.80714286,28.46,27.27,59.14,82.42571428571429,17.942857142857143,2.0742857142857143
Malinao,2017,39,Wet,0.759641525067787,0.4346853907629342,27.57714286,27.86,27.24,89.36,83.23285714285714,15.301428571428572,2.4771428571428573
Malinao,2017,40,Cool Dry,0.3109716780807502,0.269539217329197,27.69714286,28.19,27.2,79.75999999999999,81.33571428571429,18.265714285714285,2.267142857142857
Malinao,2017,42,Cool Dry,0.7287179623977962,0.4487130827764036,27.70714286,28.17,27.05,97.96,85.89571428571428,13.53,4.105714285714286
Malinao,2017,43,Cool Dry,0.7762683867580598,0.4696142270021866,26.97285714,27.2,26.65,66.02,80.49285714285715,16.8,3.687142857142857
Malinao,2017,44,Cool Dry,0.7226780822584833,0.5008405081634996,27.22428571,27.47,26.93,95.51,86.33857142857143,15.15,4.55
